Strategy Name,Strategy No.,Category No.,Category Name,Semantic Anchor,Word,WordNet Extension,Phrase Extension,Reprogramming
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,all,,,
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,everyone,everybody,,
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,everything,,,
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,anyone,anybody,,
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,anything,,,
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,only,,,
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,totally,,,
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,no one,,,
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,none,,,
Understanding Cognitive Distortion,L2b,2,All or Nothing Thinking / Overgeneralization,absolutive words,nothing,,,
Understanding Cognitive Distortion,L2b,3,Catastrophizing,,what if,,,
,,,,,,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,loser,,,I am having the thought of + [ ]
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,suck,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,hate,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,lazy,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,the worst,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,useless,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,failure,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,pathetic,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,good-for-nothing,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,dumb,,,
Understanding Harmful Self-talk,L2c,0,Dysfunctional Self-Talk,,stupid,,,
,,,,,,,,
Understanding Pronoun Perspectives,L2e,1,First Pronoun,,I,,,
Understanding Pronoun Perspectives,L2e,1,First Pronoun,,me,,,
Understanding Pronoun Perspectives,L2e,1,First Pronoun,,my,,,
Understanding Pronoun Perspectives,L2e,1,First Pronoun,,mine,,,
Understanding Pronoun Perspectives,L2e,1,First Pronoun,,myself,,,
Understanding Pronoun Perspectives,L2e,1,First Pronoun,,self,,,
,,,,,,,,
,,,,,,,,
Understanding Healthy Patterns,L2f,1,Insights words,,realize,,,L2f No Reprogramming
Understanding Healthy Patterns,L2f,1,Insights words,,understand,,,
Understanding Healthy Patterns,L2f,,,,,,,
Understanding Healthy Patterns,L2f,2,Coherent narrative words,,hence,,,
Understanding Healthy Patterns,L2f,2,Coherent narrative words,,because,,,
Understanding Healthy Patterns,L2f,2,Coherent narrative words,,therefore,,,
Understanding Healthy Patterns,L2f,3,Constructive Self-Talk,,help,,,
Understanding Healthy Patterns,L2f,3,Constructive Self-Talk,,improve,,,
Understanding Healthy Patterns,L2f,3,Constructive Self-Talk,,work on,,,
Understanding Healthy Patterns,L2f,4,Cognitive Defusion,,,,I am having the thought of,
